,quote_id,author_clean,author_alt_name,author_raw,quote,quote_words,race,gender,gender_source,race_source,google_hits,log10_hits,to_sample
7262,jstet_64158,A.S.W. Rosenbach,,A.S.W. Rosenbach,"I have known men to hazard their fortunes, go long journeys halfway about the world, forget friendships, even lie, cheat, and steal, all for the gain of a book.",29,white,male,llm,llm,43300.0,4.636487896353366,1
680,jstet_181460,Aagam Shah,,Aagam Shah,"Do hugs, not drugs. Spread love, not legs. Respect, don't judge. Listen more, talk less. Understand, don't assume. Forgive and forget..!!",23,asian,male,llm,llm,53500.0,4.7283537820212285,4
678,jstet_155532,Aagam Shah,,Aagam Shah,Sometimes you just have to die a little inside in order to be reborn and rise again as a stronger and wiser version of you..!!,25,asian,male,llm,llm,53500.0,4.7283537820212285,4
679,jstet_172866,Aagam Shah,,Aagam Shah,"While you’re hating your life just because you can’t get what you want, someone is praying to have a life like yours..!!",24,asian,male,llm,llm,53500.0,4.7283537820212285,4
681,jstet_263623,Aagam Shah,,Aagam Shah,"Once you enjoy playing the game too much, you stop looking at the score..!!",14,asian,male,llm,llm,53500.0,4.7283537820212285,4
683,jstet_224109,Aakash Deep,,Aakash Deep,"Everything is uncomfortable for the first time: School, Smoking or Sex.",11,asian,male,llm,llm,118000.0,5.071882,1
7263,jstet_363543,Aaron Burr Jr.,,Aaron Burr Jr.,To the union of all honest men.,7,white,male,wikidata,llm,17300.0,4.238046103128795,1
7264,jstet_183416,Aaron Carter,,Aaron Carter,"Having a dream, living that dream, losing that dream, dreaming again and then having that dream come true again is one of the greatest feelings ever because I`m stronger.",30,white,male,wikidata,llm,1220000.0,6.086359830674748,1
7265,jstet_19280,Aaron Cohen,,Aaron Cohen,"Happiness is attained, not through self-interest, but through unconditional fidelity in endless love of eternal light.",17,white,male,wikidata,llm,232000.0,5.365487984890899,1
7266,jstet_234923,Aaron Crabill,,Aaron Crabill,You’d have been scared too if that big troglodyte had put his hands on you. He smelled like dirty socks and store brand cola.” Chet Andrews,27,white,male,llm,llm,1730.0,3.2380461031287955,1
7267,jstet_234084,Aaron Dries,,Aaron Dries,This isn’t how things were supposed to happen. I was supposed to be me. Not this.,17,white,male,llm,llm,28400.0,4.453318340047038,1
7268,jstet_499166,Aaron Johnson,,Aaron Johnson,"I'm a dad, and I can tell you it's the most beautiful thing in the world.",18,white,male,wikidata,llm,1510000.0,6.17897694729317,1
2992,jstet_492383,Aaron Neville,,Aaron Neville,I write poetry on my iPhone. I've got about 100 poems on there.,14,black,male,wikidata,llm,495000.0,5.694605198933568,8
2988,jstet_459933,Aaron Neville,,Aaron Neville,I buried Joel on our 48th anniversary. I had been with her since I was 16.,16,black,male,wikidata,llm,495000.0,5.694605198933568,8
2987,jstet_456140,Aaron Neville,,Aaron Neville,"I was raised Catholic, but my father's people were Methodist, so we went to both churches.",17,black,male,wikidata,llm,495000.0,5.694605198933568,8
2993,jstet_495743,Aaron Neville,,Aaron Neville,"My drummer, bass player, and guitar player sing backgrounds. They play and sing. I can sing all the harmonies, but I can't do it alone.",26,black,male,wikidata,llm,495000.0,5.694605198933568,8
2989,jstet_460617,Aaron Neville,,Aaron Neville,"I'll be singing with The Blind Boys of Alabama, which is a great joy to me. I've done some work with them before, and they truly are amazing.",30,black,male,wikidata,llm,495000.0,5.694605198933568,8
2986,jstet_450092,Aaron Neville,,Aaron Neville,Every morning I wake up and thank God.,8,black,male,wikidata,llm,495000.0,5.694605198933568,8
2991,jstet_492382,Aaron Neville,,Aaron Neville,So now I have a collection of poetry by Aaron Neville and I give it to people I want to share it with. I'd like to publish it someday.,30,black,male,wikidata,llm,495000.0,5.694605198933568,8
2990,jstet_462961,Aaron Neville,,Aaron Neville,"It's up to God to do the judging. You haven't walked in my boots, so how are you going to judge me?",24,black,male,wikidata,llm,495000.0,5.694605198933568,8
5075,jstet_455213,Aaron Sanchez,,Aaron Sanchez,Latin food suffers like Chinese. You can do marginal Chinese and be successful. You can do crappy Mexican and be packed.,21,latino,male,wikidata,llm,393000.0,5.594393,1
7269,jstet_478126,Aaron Taylor-Johnson,,Aaron Taylor-Johnson,"I love gardening, and I love cooking. I love things like that. I love creating things.",16,white,male,wikidata,llm,3660000.0,6.563481085394411,1
7270,jstet_305138,Aaron W. Matthews,,Aaron W. Matthews,"I am simply not enough in myself, but in Him I am. This surrender is not weakness, but the only true measure of strength any of us have.",28,white,male,llm,llm,2180.0,3.3384564936046046,1
7271,jstet_319949,Aaronovitch Ben,,Aaronovitch Ben,It’s a good thing that the sheep are all so law abiding,13,white,male,llm,llm,424000.0,5.627365856592733,1
0,jstet_70797,Aayushi Jain,,Aayushi Jain,Your Presentation is Your Capability.,5,asian,female,llm,llm,114000.0,5.056905,1
6431,jstet_472423,Abbie Cornish,,Abbie Cornish,Something I've noticed as I get older is that I do think about the future more. It's all positive thinking.,22,white,female,wikidata,llm,667000.0,5.824125833916549,1
7272,jstet_477994,Abbott L. Lowell,,Abbott L. Lowell,"You will not accept credit that is due to another, or harbor jealousy of an explorer who is more fortunate.",20,white,male,llm,llm,1200.0,3.0791812460476247,1
2994,jstet_166634,Abdourahman A. Waberi,,Abdourahman A. Waberi,"In your opinion, where do private and political life, personal history and History meet? You know the answer, Maya. You say it unhesitatingly - in art and literature.",27,black,male,wikidata,llm,49600.0,4.695482,1
5076,jstet_64440,Abelardo Morell,,Abelardo Morell,"At times, I have been convinced that books hold all the material of life--at least all the stuff that fits between an A and a Z.",27,latino,male,wikidata,llm,122000.0,5.08636,1
2997,jstet_10649,Aberjhani,,Aberjhani,You were born a child of light’s wonderful secret— you return to the beauty you have always been.,19,black,male,wikidata,llm,39400.0,4.595496221825574,10
3003,jstet_11640,Aberjhani,,Aberjhani,Quote words that affirmall men and women are yourbrothers and sisters.,11,black,male,wikidata,llm,39400.0,4.595496221825574,10
2999,jstet_10759,Aberjhani,,Aberjhani,"Un-winged and naked, sorrow surrenders its crown to a throne called grace.",13,black,male,wikidata,llm,39400.0,4.595496221825574,10
3004,jstet_11700,Aberjhani,,Aberjhani,"Love as a concrete foundation for an authentically functional civilization requires the around-the-clock labors of forgiveness. Without it, Love fails, Friendship fails, Intelligence fails, Humanity: fails.",28,black,male,wikidata,llm,39400.0,4.595496221825574,10
2996,jstet_1241,Aberjhani,,Aberjhani,"The words ‘I Love You’ kill, and resurrect millions, in less than a second.",14,black,male,wikidata,llm,39400.0,4.595496221825574,10
3001,jstet_11275,Aberjhani,,Aberjhani,A bridge of silver wings stretches from the dead ashes of an unforgiving nightmareto the jeweled vision of a life started anew.,22,black,male,wikidata,llm,39400.0,4.595496221825574,10
3002,jstet_11294,Aberjhani,,Aberjhani,"And now we step to the rhythm of miracles.--from The Light, That Never Dies",15,black,male,wikidata,llm,39400.0,4.595496221825574,10
2998,jstet_10689,Aberjhani,,Aberjhani,Each star is a mirror reflecting the truth inside you.,10,black,male,wikidata,llm,39400.0,4.595496221825574,10
2995,jstet_862,Aberjhani,,Aberjhani,Dare to love yourselfas if you were a rainbowwith gold at both ends.,13,black,male,wikidata,llm,39400.0,4.595496221825574,10
3000,jstet_10987,Aberjhani,,Aberjhani,What a lover’s heart knows let no man’s brain dispute.,12,black,male,wikidata,llm,39400.0,4.595496221825574,10
689,jstet_394665,Abhijit Kar Gupta,,Abhijit Kar Gupta,Wish and Wisdom are pals. Wisdom consoles at the fall of Wish and Wish cheers up when Wisdom is at wrong foot!,22,asian,male,llm,llm,9170.0,3.962369335670021,4
686,jstet_374505,Abhijit Kar Gupta,,Abhijit Kar Gupta,"Many often errors lead to discoveries, but our fantasies and limitations are tested by blunders!",15,asian,male,llm,llm,9170.0,3.962369335670021,4
685,jstet_363637,Abhijit Kar Gupta,,Abhijit Kar Gupta,"The truth that we hide is naked, the one that we flaunt is so well dressed!",16,asian,male,llm,llm,9170.0,3.962369335670021,4
687,jstet_381487,Abhijit Kar Gupta,,Abhijit Kar Gupta,"If you are able to forget yourself, you will know you would not be forgotten!",15,asian,male,llm,llm,9170.0,3.962369335670021,4
692,jstet_391469,Abhijit Tripathi,,Abhijit Tripathi,The knowledge of Evil brings you near to God.,9,asian,male,llm,llm,12400.0,4.093421685162235,2
691,jstet_369202,Abhijit Tripathi,,Abhijit Tripathi,Its good to be alone than being alone with everyone.,10,asian,male,llm,llm,12400.0,4.093421685162235,2
693,jstet_133392,Abhinav Srivastava,,Abhinav Srivastava,Being creative is not something you do. Its something you are. Each moment of ur life is creative,18,asian,male,llm,llm,325000.0,5.511883360978874,1
699,jstet_273655,Abhishek jadaun,,Abhishek jadaun,Single hand for help is better than thousands hands of prayer.,11,asian,male,llm,llm,4440.0,3.647383,2
698,jstet_54431,Abhishek jadaun,,Abhishek jadaun,"we can do ,whatever we want to do.",8,asian,male,llm,llm,4440.0,3.647383,2
694,jstet_50955,Abhishek Mishra,,Abhishek Mishra,"College is not important, knowledge is",6,asian,male,wikidata,llm,2820000.0,6.450249,1
695,jstet_187464,Abhishek Rai,,Abhishek Rai,Being insulted again and again it doesn't mean that you haven't self respect. It means that you value someone most.,22,asian,male,wikidata,llm,749000.0,5.874482,1
696,jstet_240530,Abhishek Rath,,Abhishek Rath,"Darling, even raindrops try to wipe my teardrops but your thoughts haul out more tears from my liquid eyes and then teardrops replace raindrops...",24,asian,male,llm,llm,46800.0,4.670246,1
697,jstet_72985,Abhishek Sachdeva,,Abhishek Sachdeva,"Love is not about only about caring, but it is also about what type of feeling for caring",18,asian,male,llm,llm,73600.0,4.866878,1
6432,jstet_343968,Abigail Baker,,Abigail  Baker,"He gripped me so tightly our hips pressed together, forcing me onto my toes for balance. For several moments, we stared, exchanging nothing but blinks to brush away the rain.",30,white,female,llm,llm,76500.0,4.883661435153618,1
6433,jstet_350757,Abigail Brown,,Abigail Brown,"It is my belief that love dies from overuse, and the heart dies from a lack of interest in life without it.",22,white,female,wikidata,llm,139000.0,5.143014800254095,1
6434,jstet_358140,Abigail Owen,,Abigail Owen,"I just finished running, and I look and smell like nothing very pleasant. Why, oh, why did he have to bump into me now?",24,white,female,wikidata,llm,201000.0,5.303196057420489,1
6435,jstet_157732,Abigail Padgett,,Abigail Padgett,"I like having options, alternate lives unlived but always possible.",10,white,female,wikidata,llm,15400.0,4.187520720836463,1
6436,jstet_164699,Abigail Strom,,Abigail Strom,Don't look backwards. That never does any good. Think about the future instead.,14,white,female,llm,llm,12200.0,4.086359830674748,1
2147,jstet_161371,Abiola Abrams,,Abiola Abrams,The Sacred Bombshell knows that her creative feminine energy is a catalyst. She remembers her womb wisdom.,17,black,female,wikidata,llm,107000.0,5.02938377768521,10
2153,jstet_221022,Abiola Abrams,,Abiola Abrams,There is a self-love solution for every challenge.,9,black,female,wikidata,llm,107000.0,5.02938377768521,10
2149,jstet_210467,Abiola Abrams,,Abiola Abrams,Loving ourselves is a revolutionary act!,6,black,female,wikidata,llm,107000.0,5.02938377768521,10
2154,jstet_221037,Abiola Abrams,,Abiola Abrams,"The next time you get scared, get sacred!",8,black,female,wikidata,llm,107000.0,5.02938377768521,10
2146,jstet_128316,Abiola Abrams,,Abiola Abrams,People pleasing doesn't allow you to receive.,8,black,female,wikidata,llm,107000.0,5.02938377768521,10
2151,jstet_213435,Abiola Abrams,,Abiola Abrams,"I am still bullied occasionally. However, none of my current bullies really exist. They’re all in my head. Be your own best friend instead of your worst enemy.",29,black,female,wikidata,llm,107000.0,5.02938377768521,10
2152,jstet_213442,Abiola Abrams,,Abiola Abrams,A woman in love with herself is magnetic.,8,black,female,wikidata,llm,107000.0,5.02938377768521,10
2148,jstet_170271,Abiola Abrams,,Abiola Abrams,Dishonoring what we feel is an epidemic that has us self-medicating as a culture and trying to numb ourselves.,20,black,female,wikidata,llm,107000.0,5.02938377768521,10
2145,jstet_65378,Abiola Abrams,,Abiola Abrams,"You are magnificent beyond measure, perfect in your imperfections, and wonderfully made.",12,black,female,wikidata,llm,107000.0,5.02938377768521,10
2150,jstet_213433,Abiola Abrams,,Abiola Abrams,"If you are in a bad relationship with anyone else, it is because you are in a bad relationship with yourself.",21,black,female,wikidata,llm,107000.0,5.02938377768521,10
7273,jstet_315962,Abner Cole,,Abner Cole,EQUAL RIGHTS and FREE DISCUSSION will be fearlessly advocated and maintained. Sectarian dogmas or tenets will be investigated and compared.,20,white,male,wikidata,llm,4670.0,3.669316880566112,1
7274,jstet_82954,Abraham Ford,The Walking Dead TV Series,Abraham Ford (The Walking Dead TV Series),We have a shit storm behind door A and a storm of shit behind door B,16,white,male,llm,llm,72000.0,4.857332496431268,1
3005,jstet_357105,Abu Ameenah Bilal Philips,,Abu Ameenah Bilal Philips,The believer is not a slave to fa,8,black,male,wikidata,llm,231000.0,5.363612,1
4307,jstet_146197,Achy Obejas,,Achy Obejas,"Offspring were a joy or a shame, but still the crown of their elders, nature's unpredictable creatures.",18,latino,female,wikidata,llm,285000.0,5.454845,1
4310,jstet_113194,Ada Limon,,Ada Limon,"If we could light up the room with pain, we’d be such a glorious fire.",16,latino,female,wikidata,llm,172000.0,5.235528446907549,4
4311,jstet_267871,Ada Limon,,Ada Limon,I'm thirty-five and remember all that I've done wrong.,12,latino,female,wikidata,llm,172000.0,5.235528446907549,4
4309,jstet_106527,Ada Limon,,Ada Limon,"People have done this before, but not us.",8,latino,female,wikidata,llm,172000.0,5.235528446907549,4
4308,jstet_36997,Ada Limon,,Ada Limon,I am not obsessing.I am just sitting hereperforating this post-itwith a push-pin.,15,latino,female,wikidata,llm,172000.0,5.235528446907549,4
6437,jstet_396575,Ada Louise Huxtable,,Ada Louise Huxtable,Washington is an endless series of mock palaces clearly built for clerks.,12,white,female,wikidata,llm,96600.0,4.984977126415493,1
4312,jstet_350431,Ada Velez-Boardley,,Ada Velez-Boardley,Loyalty is the pledge of truth to oneself and others.,10,latino,female,llm,llm,9170.0,3.962369,1
3006,jstet_86893,Adam Clayton Powell III,,Adam Clayton Powell III,I try to make my comments like a woman's skirt: long enough to be respectable and short enough to be interesting.,22,black,male,wikidata,llm,18700.0,4.271842,1
7276,jstet_309051,Adam Copeland,,Adam Copeland,Achieving accomplishments without first making a sacrifice to gain them does not make you accomplished. That just makes you a lucky bastard.,22,white,male,wikidata,llm,417000.0,5.620136054973758,1
7277,jstet_360855,Adam Kotsko,,Adam Kotsko,It doesn’t have to be perfect to be better than a hotbed of rape threats and Nazi memes.,19,white,male,wikidata,llm,62200.0,4.793790384690818,1
7278,jstet_366510,Adam Mickiewicz,,Adam Mickiewicz,"I and motherland are one. My name is Million, because for millions do I love and suffer agonies.",18,white,male,wikidata,wikidata,2140000.0,6.330413773349191,1
7280,jstet_377713,Adam Nicolson,,Adam Nicolson,The 19th century had chosen only to remember the happy warrior. The 20th century only the blood come gargling. Both are essential to any understanding of Trafalgar.,27,white,male,wikidata,llm,92300.0,4.965201701025912,2
7279,jstet_108523,Adam Nicolson,,Adam Nicolson,The place has entered me...it has coloured my life like a stain.,13,white,male,wikidata,llm,92300.0,4.965201701025912,2
7281,jstet_436936,Adam Peaty,,Adam Peaty,Swimming and all other sports have got to get to that place where you have the trust of the people watching it.,22,white,male,wikidata,llm,4650000.0,6.6674529528899535,1
7284,jstet_364416,Adam Roberts,,Adam Roberts,"Not where he eats, but where he is eaten’?” He laughed again. “Racine has his moments, sure, but you can’t beat Shakespeare for the really grisly stuff.",28,white,male,wikidata,llm,485000.0,5.685741738602264,2
7283,jstet_359077,Adam Roberts,,Adam Roberts,for fear is all the blind future harrying us and when the scales drop away the fear goes too,19,white,male,wikidata,llm,485000.0,5.685741738602264,2
5077,jstet_429184,Adam Rodriguez,,Adam Rodriguez,"I give everyone upmost respect, and when people feel that, you end up getting the most out of your interaction with them. That connectivity is really important in my life.",30,latino,male,wikidata,llm,354000.0,5.549003,1
7285,jstet_114390,Adam Ross,,Adam Ross,"Perhaps it's simply the dual nature of marriage, the proximity of violence and love.",15,white,male,wikidata,llm,1370000.0,6.136720567156407,1
7288,jstet_461572,Adam Schiff,,Adam Schiff,America has a critical role to play as the most powerful member of the world community.,16,white,male,wikidata,llm,4170000.0,6.620136054973758,4
7289,jstet_496311,Adam Schiff,,Adam Schiff,Unless action is taken soon - unless we can display the same vision of that earlier period - we will lose the treasure of California's open space and environmental beauty.,29,white,male,wikidata,llm,4170000.0,6.620136054973758,4
7287,jstet_459999,Adam Schiff,,Adam Schiff,"Each year on the anniversary of Martin Luther King Jr.'s birth, America has the opportunity to reflect on our nation's progress towards the realization of his dream.",29,white,male,wikidata,llm,4170000.0,6.620136054973758,4
7286,jstet_451696,Adam Schiff,,Adam Schiff,The prompt assimilation of that intelligence will be essential if we are to avoid another September 11th.,17,white,male,wikidata,llm,4170000.0,6.620136054973758,4
7290,jstet_79487,Adam Scott Wolf,,Adam Scott Wolf,"What magic is this?' the muse says to the man. 'A flower, a dream, a fairy-tale wish,' the man says to his muse. The muse smiles.",27,white,male,llm,llm,79900.0,4.902546779313991,1
5080,jstet_67476,Adam Silvera,,Adam Silvera,"Yes, we live, or we're given the chance to, at least, but sometimes living is hard and complicated because of fear.",22,latino,male,wikidata,llm,2170000.0,6.336459733848529,9
5086,jstet_367270,Adam Silvera,,Adam Silvera,I'm blown away by how happy you make me. Thank you for being there for me when I'm stupid enough to think I'd rather be alone.,29,latino,male,wikidata,llm,2170000.0,6.336459733848529,9
5082,jstet_156655,Adam Silvera,,Adam Silvera,"I've spent years living safely to secure a longer life, and look where that's gotten me. I'm at the finish line but I never ran the race.",30,latino,male,wikidata,llm,2170000.0,6.336459733848529,9
5087,jstet_380009,Adam Silvera,,Adam Silvera,"Entire lives aren’t lessons, but there are lessons in lives.",11,latino,male,wikidata,llm,2170000.0,6.336459733848529,9
5079,jstet_55582,Adam Silvera,,Adam Silvera,"Puzzles are sort of like life because you can mess up and rebuild later, and you're likely smarter the next time around.",23,latino,male,wikidata,llm,2170000.0,6.336459733848529,9
5084,jstet_338578,Adam Silvera,,Adam Silvera,"No one goes on, but what we leave behind keeps us alive for someone else.",15,latino,male,wikidata,llm,2170000.0,6.336459733848529,9
5085,jstet_344444,Adam Silvera,,Adam Silvera,"Every universe I’ve created lately, your face keeps popping up in it.",13,latino,male,wikidata,llm,2170000.0,6.336459733848529,9
5081,jstet_156653,Adam Silvera,,Adam Silvera,"No matter how we choose to live, we both die at the end.",13,latino,male,wikidata,llm,2170000.0,6.336459733848529,9
5078,jstet_31272,Adam Silvera,,Adam Silvera,I’d give in to the grief but make sure I wasn’t loud enough to draw attention from those who think words will make me feel better.,28,latino,male,wikidata,llm,2170000.0,6.336459733848529,9
2155,jstet_223480,Adaria Armstrong,,Adaria Armstrong,Dying is like not getting to see the end of the movie.,12,black,female,llm,llm,3190.0,3.503791,1
6438,jstet_49249,Adelaide Hoodless,,Adelaide Hoodless,"Educate a boy, and you educate an individual. Educate a girl, and you educate a community.",16,white,female,wikidata,llm,146000.0,5.164352855784437,1
7291,jstet_380401,Adelbert von Chamisso,,Adelbert von Chamisso,I am a solitary wave in the dark and desolate sea: and the sparkling glass I drank was drugged with misery.,21,white,male,wikidata,llm,505000.0,5.703291378118662,1
6439,jstet_112223,Adele Adkins,,Adele Adkins,"Sometimes it lasts in love, But sometimes it hurts instead",10,white,female,wikidata,llm,470000.0,5.672097857935717,1
6442,jstet_354931,Adele Parks,,Adele Parks,I look away so that my eyes don't betray the hurt I feel,14,white,female,wikidata,llm,179000.0,5.252853030979893,2
6441,jstet_350769,Adele Parks,,Adele Parks,The past is for learning from and letting go. You can't revisit it. It vanishes.,16,white,female,wikidata,llm,179000.0,5.252853030979893,2
6443,jstet_207720,Adelheid Manefeldt,,Adelheid Manefeldt,"He lived a quiet existence where the future was easy to predict and the past was a cancer in remission. It was meaningful, of course. But it was lonely.",29,white,female,llm,llm,2120.0,3.326335860928751,1
700,jstet_483391,Adi Godrej,,Adi Godrej,It's a mistake to believe technology rests outside India. We compete very successfully.,14,asian,male,wikidata,llm,90000.0,4.954243,1
702,jstet_273528,Adi Shankaracarya,,Adi Shankaracarya,"Who but the Atman is capable of removing the bonds of ignorance, passion and self-interested action?",17,asian,male,llm,llm,1120000.0,6.049218022670182,2
701,jstet_212025,Adi Shankaracarya,,Adi Shankaracarya,"Like the appearance of silver in mother of pearl, the world seems real until the Self, the underlying reality, is realized.",21,asian,male,llm,llm,1120000.0,6.049218022670182,2
6444,jstet_356824,Adina Rishe Gewirtz,,Adina Rishe Gewirtz,"But when you're in second grade, you don't yet know the meaning of impossible",16,white,female,llm,llm,4840.0,3.684845361644412,1
2,jstet_22683,Aditi Agarwal,,Aditi Agarwal,This entire universe is a manifestation of the Supreme Lord.,10,asian,female,wikidata,llm,262000.0,5.418301291319746,2
1,jstet_22682,Aditi Agarwal,,Aditi Agarwal,Help others to fulfill their dreams and you will fulfill yours.,11,asian,female,wikidata,llm,262000.0,5.418301291319746,2
3,jstet_365417,Aditi Vyas,,Aditi Vyas,"When your head is held high, society pry.",8,asian,female,wikidata,llm,27000.0,4.431364,1
6445,jstet_97118,Admiral Grace Hopper,,Admiral Grace Hopper,"You manage things, you lead people.",6,white,female,llm,llm,61100.0,4.786041210242554,1
7292,jstet_415931,Adolf Eichmann,,Adolf Eichmann,Repentance is for little children.,5,white,male,wikidata,llm,717000.0,5.8555191556678,1
5088,jstet_427566,Adolfo Perez Esquivel,,Adolfo Perez Esquivel,Don't stand back with your arms folded step forward... There is hope and light to resist injustice and promote peace without violence.,23,latino,male,wikidata,llm,110000.0,5.041393,1
5,jstet_448931,Adora Svitak,,Adora Svitak,"Prom has all the elements of a popular story. It reeks of all-Americanness, tension, drama. It has romance. Pretty dresses. Dancing. Limos. High school. Coming of age.",28,asian,female,wikidata,llm,34100.0,4.532754378992498,2
4,jstet_443341,Adora Svitak,,Adora Svitak,Any good teacher knows how important it is to connect with students and understand our culture.,16,asian,female,wikidata,llm,34100.0,4.532754378992498,2
5091,jstet_255658,Adrián Lamo,,Adrián Lamo,"I believe in a world where all these things can happen, even if I have to do them myself.",19,latino,male,wikidata,llm,106000.0,5.02530586526477,4
5092,jstet_291767,Adrián Lamo,,Adrián Lamo,"I am not a wishing well with legs. (Paraphrasing Babylon 5's Londo Mollari, repeately, when asked to perform hacking functions for strangers.)",23,latino,male,wikidata,llm,106000.0,5.02530586526477,4
5090,jstet_86285,Adrián Lamo,,Adrián Lamo,"The universe doesn't waste anything. Sometimes, we just don't have standing to see how events or experiences are important.",21,latino,male,wikidata,llm,106000.0,5.02530586526477,4
5089,jstet_56299,Adrián Lamo,,Adrián Lamo,"People represented in book or film travel vast oceans of life unrecorded; studeo time costs money, and pens grow heavy.",20,latino,male,wikidata,llm,106000.0,5.02530586526477,4
7293,jstet_477984,Adrian Lyne,,Adrian Lyne,"Obviously, in dealing with a relationship, sexuality has to be involved, and jealousy and emotions like that. And I don't know, I've always been intrigued by those emotions.",30,white,male,wikidata,llm,280000.0,5.447158031342219,1
703,jstet_219817,Adrian Tan,,Adrian Tan,"You will find, that when you have someone to love, that the face is less important than the brain, and the body is less important than the heart.",28,asian,male,wikidata,llm,620000.0,5.792392,1
704,jstet_490406,Adrian Tomine,,Adrian Tomine,"I grew up with a very romantic, idealized vision of New York, probably because of all the books I read and the movies I watched.",25,asian,male,wikidata,llm,396000.0,5.597695,1
6446,jstet_433829,Adrianne Palicki,,Adrianne Palicki,"I love shopping; I'm a jeans and a T-shirt kind of girl, but I go classy when I dress up - with a little bit of sexy.",28,white,female,wikidata,llm,1040000.0,6.017033339298781,1
7294,jstet_491997,Adrien Brody,,Adrien Brody,"My dad told me, 'It takes fifteen years to be an overnight success', and it took me seventeen and a half years.",22,white,male,wikidata,llm,2840000.0,6.453318340047038,1
7295,jstet_104912,Agis II of Sparta,,Agis II of Sparta,The Spartans do not ask how many but where they are.,11,white,male,llm,llm,1960.0,3.292256071356476,1
6447,jstet_401592,Agnes C. Laut,,Agnes C. Laut,The ultimate umpire of all things in life is - fact.,10,white,female,llm,llm,43100.0,4.634477270160732,1
6448,jstet_77246,Agnes Newton Keith,,Agnes Newton Keith,"We are not pleasant people here, for the story of war is always the story of hate; it makes no difference with whom one fights. The hate destroys you.",29,white,female,wikidata,llm,58700.0,4.768638101247614,1
6449,jstet_348946,Agnes Sligh Turnbull,,Agnes Sligh Turnbull,"Dogs' lives are too short. Their only fault, really.",9,white,female,wikidata,llm,55800.0,4.746634198937579,1
6450,jstet_395215,Agnes Varda,,Agnes Varda,Happiness is a beautiful fruit that tastes of cruelty.,9,white,female,wikidata,llm,360000.0,5.556302500767287,1
6451,jstet_491102,Agyness Deyn,,Agyness Deyn,"I'd like a relationship that was like two tree trunks side by side, strong but independent.",17,white,female,wikidata,llm,722000.0,5.858537197569639,1
3009,jstet_335477,Ahmir Questlove Thompson,,Ahmir Questlove Thompson,Switching off perfection switched on the human quality,8,black,male,llm,llm,169000.0,5.227886704613674,4
3010,jstet_371472,Ahmir Questlove Thompson,,Ahmir Questlove Thompson,"It's a funny word, persistence. It means not giving up, but it also means just passing on through time.",20,black,male,llm,llm,169000.0,5.227886704613674,4
