,quote_id,author_clean,author_alt_name,author_raw,quote,quote_words,race,gender,gender_source,race_source,google_hits,log10_hits,to_sample
1894,jstet_213397,Adrienne Barbeau,,Adrienne Barbeau,I’m a short woman with a pretty good body and large breasts — that’s not what I think of as sexy.,22,white,female,wikidata,llm,384000.0,5.5843312243675305,1
2862,jstet_273777,Aeschlyus,,Aeschlyus,Man was not meant for safe harbor.,7,white,male,llm,llm,2430.0,3.385606273598312,1
2863,jstet_104912,Agis II of Sparta,,Agis II of Sparta,The Spartans do not ask how many but where they are.,11,white,male,llm,llm,1960.0,3.292256071356476,1
0,jstet_153639,Agnes Kamara-umunna,,Agnes Kamara-umunna,"In life, we make the best decisions we can with the information we have on hand.",16,black,female,llm,llm,1050.0,3.021189,1
1895,jstet_395215,Agnes Varda,,Agnes Varda,Happiness is a beautiful fruit that tastes of cruelty.,9,white,female,wikidata,llm,360000.0,5.556302500767287,1
2864,jstet_134188,Agostino Scafidi,,Agostino Scafidi,"If you look deep enough into anything, sense is always there to be made, wouldn’t you agree?",18,white,male,llm,llm,2440.0,3.3873898263387296,1
2865,jstet_441527,Aidan Quinn,,Aidan Quinn,"Celebrity, to me, is not a thing to seek.",9,white,male,wikidata,llm,415000.0,5.6180480967120925,1
3,jstet_443716,Aisha Tyler,,Aisha Tyler,"For a little while, my mom was a school teacher. And I went to the school that she taught.",19,black,female,wikidata,llm,467000.0,5.669316880566112,5
13,jstet_259521,Akosua Dardaine Edwards,,Akosua Dardaine Edwards,Don't overthink yourself out of something good!,8,black,female,llm,llm,4100.0,3.612783856719736,9
980,jstet_487013,Al Green,,Al Green,I learned more stuff in church than I did in the world.,12,black,male,wikidata,wikidata,4380000.0,6.641474,2
982,jstet_496933,Al Roker,,Al Roker,In our society leaving baby with Daddy is just one step above leaving the kids to be raised by wolves or apes.,22,black,male,wikidata,llm,812000.0,5.909556029241175,2
2868,jstet_491516,Al Yankovic,,Al Yankovic,"As my father used to tell me, the only true sign of success in life is being able to do for a living that which makes you happy.",28,white,male,wikidata,llm,2760000.0,6.440909082065217,2
2869,jstet_449816,Alain Delon,,Alain Delon,"I knew everything and received everything. But real happiness, is giving.",11,white,male,wikidata,llm,5110000.0,6.708420900134713,1
2870,jstet_395285,Alan Downs,,Alan Downs,Always seek to allow others space to be imperfect.,9,white,male,wikidata,llm,37200.0,4.570542939881897,1
2871,jstet_370878,Alan Gibson,,Alan Gibson,"Defending the library service from the predations of ideologically-motivated public schoolboys who had immensely privileged childhoods isn’t ‘whining,’ it is the pursuit of passionately held beliefs.",28,white,male,wikidata,llm,176000.0,5.2455126678141495,1
2872,jstet_217336,Alan J. Perlis,,Alan J. Perlis,Dealing with failure is easy: Work hard to improve. Success is also easy to handle: You've solved the wrong problem. Work hard to improve.,25,white,male,wikidata,llm,19900.0,4.298853076409706,1
2873,jstet_343279,Alan McGlashan,,Alan McGlashan,"Ruefully admitting we can neither remain children nor all become artists still less saints and mystics, we turn back, regretfully, but massively, to the time-ridden world.",27,white,male,wikidata,llm,6810.0,3.833147111912785,1
2874,jstet_95492,Alan Sakowitz,,Alan Sakowitz,"Unless today is well lived, tomorrow is not important.",9,white,male,llm,llm,1690.0,3.227886704613673,1
2875,jstet_293614,Alan Turning,,Alan Turning,"Do you know why people like violence? It is because it feels good. Humans find violence deeply satisfying. But remove the satisfaction, and the act becomes hollow.",27,white,male,llm,llm,2740000.0,6.437750562820388,1
1896,jstet_369143,Alanna Rusnak,,Alanna Rusnak,"We're all just wandering around with our fingers crossed, hoping we'll meet someone who will make our lostness a little less lonely.",24,white,female,llm,llm,8070.0,3.90687353472207,1
2882,jstet_486273,Albert Brooks,,Albert Brooks,"If we had 3 million exhibitionists and only one voyeur, nobody could make any money.",15,white,male,wikidata,llm,1300000.0,6.113943352306837,8
2884,jstet_76126,Albert Dietrich,,Albert Dietrich,"There are perhaps many causes worth dying for, but to me, certainly, there are none worth killing for.",18,white,male,wikidata,llm,90600.0,4.957128197676813,1
2885,jstet_410749,Albert E. Dunning,,Albert E. Dunning,Great opportunities come to all but many do not know they have met them. The only preparation to take advantage of them is ... to watch what each day brings.,29,white,male,wikidata,llm,1510.0,3.1789769472931693,1
2886,jstet_482937,Albert Finney,,Albert Finney,"To be a character who feels a deep emotion, one must go into the memory's vault and mix in a sad memory from one's own life.",28,white,male,wikidata,llm,752000.0,5.876217840591642,1
2887,jstet_453333,Albert II of Belgium,,Albert II of Belgium,One single vision fills all minds: that of our independence endangered. One single duty imposes itself upon our wills: the duty of stubborn resistance.,24,white,male,wikidata,llm,76500.0,4.883661435153618,1
2888,jstet_147331,Albert J. LaChance,,Albert J. LaChance,"In these writings, and in all my teaching work, I continue to ask the question, “What about the children?",19,white,male,llm,llm,3620.0,3.558708570533166,1
2889,jstet_105504,Albert O. Hirschman,,Albert O. Hirschman,History is nothing if not far-fetched.,7,white,male,wikidata,llm,545000.0,5.7363965022766426,1
2891,jstet_351235,Albert Sánchez Piñol,,Albert Sánchez Piñol,Most geniuses are geniuses because of the way they manage their natural talents. He was one because of the way he took advantage of the world's defects.-pg 129,30,white,male,wikidata,llm,398000.0,5.599883072073688,2
2892,jstet_141908,Albert Zimbler,,Albert Zimbler,You're never too old to laugh at stories about love and sex.,13,white,male,llm,llm,1220.0,3.0863598306747484,1
22,jstet_474844,Alberta Hunter,,Alberta Hunter,Put your faith in God and confidence in yourself.,9,black,female,wikidata,wikidata,79900.0,4.902547,1
1897,jstet_205097,Albina Hume,,Albina Hume,"Live your dreams, not your fears! A.Hume",8,white,female,llm,llm,1210.0,3.0827853703164503,1
2898,jstet_97882,Albrecht Dürer,,Albrecht Dürer,"Truly, art is embedded in nature; he who can extract it, has it.",13,white,male,wikidata,wikidata,13600000.0,7.133538908370218,1
2900,jstet_493012,Alcuin,,Alcuin,"At Athens, wise men propose, and fools dispose.",8,white,male,wikidata,llm,535000.0,5.7283537820212285,2
2902,jstet_480193,Alden Ehrenreich,,Alden Ehrenreich,My mother always cultivated my imagination from the time I was very little.,13,white,male,wikidata,llm,538000.0,5.730782275666389,2
2905,jstet_12595,Aldous Huxley,,Aldous Huxley,"He was a philosopher, if you know what that was.’‘A man who dreams of fewer things than there are in heaven and earth,’ said the Savage promptly.‘Quite so…",30,white,male,wikidata,llm,4720000.0,6.673941998634088,10
2913,jstet_282895,Alex Hirsch,,Alex Hirsch,"Stay curious, stay weird, stay kind and don't let anyone ever tell you you aren't smart or brave or worthy enough.",23,white,male,wikidata,llm,796000.0,5.900913067737669,1
1898,jstet_157090,Alex Marwood,,Alex Marwood,Most people have to get to a point where they don't have a choice before they'll change something.,20,white,female,wikidata,llm,166000.0,5.220108088040055,1
2919,jstet_370399,Alex Morritt,,Alex Morritt,"Short story collections are the literary equivalent of canapés, tapas and mezze in the world of gastronomy: Delightful assortments of tasty morsels to whet the reader's appetite.",28,white,male,llm,llm,16000.0,4.204119982655925,4
1899,jstet_209465,Alexa Anderson,,Alexa Anderson,Sometimes we focus on the lyrics too much and forget to dance to the music.,15,white,female,llm,llm,178000.0,5.250420002308894,1
1900,jstet_297684,Alexa Rae,,Alexa Rae,"Tell me to leave,"" he said roughly.""No,"" I whispered, pressing a gentle kiss to his jawline.""Then I'm staying,"" and his lips consumed mine.",26,white,female,wikidata,llm,774000.0,5.888740960682893,1
2920,jstet_480467,Alexander Calder,,Alexander Calder,"To an engineer, good enough means perfect. With an artist, there's no such thing as perfect.",17,white,male,wikidata,llm,2810000.0,6.44870631990508,1
2921,jstet_413667,Alexander Douglas-Home,,Alexander Douglas-Home,There are two problems in my life. The political ones are insoluble and the economic ones are incomprehensible.,18,white,male,wikidata,llm,2460.0,3.39093510710338,1
2922,jstet_432739,Alexander Haig,,Alexander Haig,"You have to look at the history of the Middle East in particular. It has been one of failure and frustration, of feudalism and tribalism.",25,white,male,wikidata,llm,124000.0,5.093421685162235,1
2923,jstet_201818,Alexander Herzen,,Alexander Herzen,"Compassionate love may be strong. It sobs, it burns, then it wipes away its tears – and it does nothing.",19,white,male,wikidata,wikidata,146000.0,5.164352855784437,1
2924,jstet_485763,Alexander Koch,,Alexander Koch,Facebook and pictures on the Internet have created such a different way of dating. It's not necessarily good because an obsessive quality can develop in people.,27,white,male,wikidata,llm,171000.0,5.232996110392154,1
2925,jstet_130156,Alexander William Gaskarth,,Alexander William Gaskarth,Good to know we're all twelve years old mentally. Keeps things in perspective.,14,white,male,wikidata,llm,12400.0,4.093421685162235,1
1901,jstet_455495,Alexandra Guarnaschelli,,Alexandra Guarnaschelli,Food is ever-changing and ever moving forward and getting more and more complex.,14,white,female,wikidata,llm,13600.0,4.133538908370218,1
1902,jstet_427598,Alexandra Kosteniuk,,Alexandra Kosteniuk,"Studying is something I really love doing, and I just hope to have enough money for tuition.",17,white,female,wikidata,llm,150000.0,5.176091259055681,1
1903,jstet_499384,Alexandra Maria Lara,,Alexandra Maria Lara,"No matter what happens to me and my career in the future, Berlin is always going to be my hometown.",20,white,female,wikidata,wikidata,622000.0,5.793790384690818,1
1904,jstet_381221,Alexandra Pierce,,Alexandra Pierce,All human movement is expressive.,5,white,female,wikidata,llm,60100.0,4.778874472002739,1
1905,jstet_339964,Alexandra Sobetsky,,Alexandra Sobetsky,"Using excuses for the predicament you're in and minimizing your situation, whether it is drug or alcohol use, is a sure sign of an addict.",26,white,female,llm,llm,1700.0,3.230448921378274,1
1906,jstet_194431,Alexandra York,,Alexandra York,"As comestibles nourish our bodies and ideas nourish our minds, so art nourishes our souls.",15,white,female,llm,llm,28400.0,4.453318340047038,1
985,jstet_2676,Alexandre Dumas,,Alexandre Dumas,Love is the most selfish of all the passions.,9,black,male,wikidata,llm,7170000.0,6.855519155667801,8
2928,jstet_213161,Alfie Kohn,,Alfie Kohn,"How well you do things should be incidental, not integral, to the way you regard yourself.",16,white,male,wikidata,llm,472000.0,5.673941998634088,4
2930,jstet_301673,Alfonso X of Castile,,Alfonso X of Castile,"Had I been present at the Creation, I would have given some useful hints for the better ordering of the universe.",21,white,male,wikidata,wikidata,77600.0,4.889861721258188,1
2931,jstet_7020,Alfred Brendel,,Alfred Brendel,The word 'listen' contains the same letters as the word 'silent'.,11,white,male,wikidata,llm,483000.0,5.683947130751513,1
2932,jstet_488420,Alfred P. Sloan,,Alfred P. Sloan,A car for every purse and purpose.,7,white,male,wikidata,llm,728000.0,5.862131379313038,1
993,jstet_96860,Ali A. Mazrui,,Ali A. Mazrui,Africa PRODUCES what it does NOT CONSUME and CONSUMES what it does NOT PRODUCE.,14,black,male,wikidata,llm,53700.0,4.729974,1
2933,jstet_185496,Ali G.,,Ali G.,There are growing buds in universities which will freshen the future.,11,white,male,wikidata,wikidata,1710000.0,6.232996110392154,1
1907,jstet_288873,Ali McNamara,,Ali McNamara,"Oh God, my stomach must have won a medal- it's doing a lap of honour now.",17,white,female,wikidata,llm,80000.0,4.903089986991944,1
1908,jstet_385219,Alice A. Kemp,,Alice A.  Kemp,"Psychiatrist and Auschwitz survivor, Viktor Frankl, stated, ""...man is by no means merely a product of heredity and environment. There is a third element: decision. Man ultimately decides for himself!",30,white,female,llm,llm,2210.0,3.3443922736851106,1
25,jstet_406637,Alice Childress,,Alice Childress,Life is just a short walk from the cradle to the grave-and it sure behooves us to be kind to one another along the way.,26,black,female,wikidata,wikidata,44800.0,4.651278013998144,4
1909,jstet_317732,Alice Glynn,,Alice Glynn,Either you run the day or the day runs you,10,white,female,wikidata,llm,10900.0,4.037426497940624,1
1910,jstet_467870,Alice Hamilton,,Alice Hamilton,"Every article I wrote in those days, every speech I made, is full of pleading for the recognition of lead poisoning as a real and serious medical problem.",28,white,female,wikidata,llm,91400.0,4.960946195733832,1
1913,jstet_88037,Alice Munro,,Alice Munro,"Why is there always this twitchiness, when you introduce a man to a woman friend, about whether the man will be bored or put off?",25,white,female,wikidata,llm,867000.0,5.93801909747621,4
1921,jstet_459316,Alice Temperley,,Alice Temperley,My favourite finds are often antique pieces with a history.,10,white,female,wikidata,llm,398000.0,5.599883072073688,1
30,jstet_5397,Alice Walker,,Alice Walker,Surely the earth can be savedby all the peoplewho insiston love.,11,black,female,wikidata,wikidata,1780000.0,6.250420002308894,8
40,jstet_432592,Alicia Keys,,Alicia Keys,"Failure isn't an option. I've erased the word 'fear' from my vocabulary, and I think when you erase fear, you can't fail.",25,black,female,wikidata,llm,11300000.0,7.05307844348342,5
43,jstet_259156,Alicia McCalla,,Alicia McCalla,"If you don't keep moving, you'll never get anywhere.",11,black,female,llm,llm,8380.0,3.923244,1
1922,jstet_326176,Alina Stefanescu,,Alina Stefanescu,The prose is deeply inspired by the tension between post- totalitarianism and consumer democracy. I am constantly probing the soft fleshy parts of the American dream.,26,white,female,llm,llm,52400.0,4.719331286983727,1
1923,jstet_446477,Alison Moyet,,Alison Moyet,"Instead of thinking that's a nice tune, you start thinking is it the right pace, is it the right tempo? That is the death nell for artists.",28,white,female,wikidata,llm,448000.0,5.651278013998144,1
1924,jstet_207401,Alison Pace,,Alison Pace,"She's never really wanted to be the only person, she's never been such a fan of being alone.",20,white,female,wikidata,llm,64500.0,4.809559714635268,1
2934,jstet_245218,Allan Folsom,,Allan Folsom,But thinking never took away tears. Only time did.,9,white,male,wikidata,llm,24900.0,4.396199347095736,1
2935,jstet_236540,Allan Hall,,Allan Hall,"We're in America; why do I have to ""Press 1"" for English?",13,white,male,wikidata,llm,108000.0,5.033423755486949,1
994,jstet_491907,Allan Houston,,Allan Houston,Success isn't always going to be a huge contract success is going to be if you just live out your purpose in life.,24,black,male,wikidata,llm,314000.0,5.49693,1
1925,jstet_465492,Allegra Versace,,Allegra Versace,"A lot of people would say 'sexy' is about the body. But to me, 'sexy' is a woman with confidence. I admire women who have very little fear.",28,white,female,wikidata,llm,85200.0,4.9304395947667,1
2936,jstet_414418,Allen E. Bartlett,,Allen E. Bartlett,Seven days without prayer makes one weak.,7,white,male,llm,llm,2540.0,3.404833716619938,1
2937,jstet_15024,Allen Morris Jones,,Allen Morris Jones,It's not an easy thing to tell a true story.,11,white,male,wikidata,llm,11600.0,4.064457989226918,1
2938,jstet_80668,Allen Steele,,Allen Steele,"Freedom does that to people, he realizes. Once you've tasted it, ou never want to let go.",18,white,male,wikidata,llm,60900.0,4.784617292632875,1
2939,jstet_89867,Allen Wheelis,,Allen Wheelis,"The sequence is suffering, insight, will, action, change.",8,white,male,wikidata,llm,15100.0,4.17897694729317,1
1926,jstet_391700,Allison Kilkenny,,Allison Kilkenny,"The job of a journalist is to amplify the voices of the marginalized. To do that, you have to hear those voices in the first place.",26,white,female,wikidata,llm,20700.0,4.315970345456917,1
1927,jstet_447375,Allison Schroeder,,Allison Schroeder,My first break was becoming a staff writer on the rebooted '90210.' And then I got stuck writing in the teen genre for a while.,25,white,female,wikidata,llm,98100.0,4.991669007379948,1
1928,jstet_412970,Ally McBeal,,Ally McBeal,Law and love are the same - romantic in concept but the actual practice can give you a yeast infection.,19,white,female,wikidata,llm,1380000.0,6.139879086401237,1
1929,jstet_464718,Ally Sheedy,,Ally Sheedy,"My experiences have taught me a lot and I'm happy with my learnings, if not with what I went through to learn.",23,white,female,wikidata,llm,327000.0,5.514547752660286,1
996,jstet_499682,Alonzo Mourning,,Alonzo Mourning,I'm excited about what the future will bring and I think the best is yet to come.,18,black,male,wikidata,llm,776000.0,5.889861721258188,2
997,jstet_309962,Alphonso Dunn,,Alphonso Dunn,"It's not what you look at that matters, It's what you see",14,black,male,llm,llm,108000.0,5.033424,1
999,jstet_486636,Alphonso Jackson,,Alphonso Jackson,"The dream doesn't lie in victimization or blame; it lies in hard work, determination and a good education.",19,black,male,wikidata,llm,90900.0,4.958564,2
45,jstet_436468,Althea Gibson,,Althea Gibson,In the field of sports you are more or less accepted for what you do rather than what you are.,20,black,female,wikidata,wikidata,213000.0,5.32838,1
21,jstet_353921,AlTonya Washington,,AlTonya Washington,"It is obvious that you like to be in control of things. With this girl, you lose control. You despise that, especially since she is younger.- Maria Delgado",28,black,female,llm,llm,21100.0,4.324282,1
2946,jstet_453119,Alvar Aalto,,Alvar Aalto,"God created paper for the purpose of drawing architecture on it. Everything else is, at least for me, an abuse of paper.",22,white,male,wikidata,llm,4460000.0,6.649334858712142,5
1000,jstet_482274,Alvin Ailey,,Alvin Ailey,"My lasting impression of Truman Capote is that he was a terribly gentle, terribly sensitive, and terribly sad man.",19,black,male,wikidata,wikidata,895000.0,5.951823,1
2947,jstet_395813,Alvin Barkley,,Alvin Barkley,The best audience is intelligent well-educated and a little drunk.,11,white,male,llm,llm,2850.0,3.45484486000851,1
2948,jstet_12119,Alvin Plantinga,,Alvin Plantinga,Reason is the power or capacity whereby we see or detect logical relationships among propositions.,15,white,male,wikidata,llm,327000.0,5.514547752660286,1
47,jstet_329040,Alysia Harris,,Alysia Harris,The moment you feel you have to prove your worth to someone is the moment to absolutely and utterly walk away.,21,black,female,llm,llm,26200.0,4.418301291319746,2
1930,jstet_183750,Alyson Richman,,Alyson Richman,"If those we love visit us when we dream, those who torment us almost always visit us when we're still awake.",22,white,female,wikidata,llm,448000.0,5.651278013998144,1
50,jstet_247075,Ama Ata Aidoo,,Ama Ata Aidoo,"Humans, not places, make memories.",5,black,female,wikidata,llm,202000.0,5.305351369446623,4
52,jstet_55109,Amaleka McCall,,Amaleka McCall,Words are like eggs dropped from great heights. You can't ever put the pieces back together after they hit home.,21,black,female,llm,llm,12900.0,4.11059,1
1932,jstet_341350,Amalia Carosella,,Amalia Carosella,"Stay with me?” His fingers wound into my hair, and his arm tightened around me. “Always.",16,white,female,llm,llm,4960.0,3.6954816764901977,2
1933,jstet_427110,Amanda Burton,,Amanda Burton,What a stupid attitude we have in this country to personal stories.,12,white,female,wikidata,llm,185000.0,5.267171728403014,1
1934,jstet_275007,Amanda Eyre Ward,,Amanda Eyre Ward,It was a place you could make into a home if your home hadn’t worked out.,17,white,female,wikidata,llm,103000.0,5.012837224705172,1
1942,jstet_479800,Amanda Lindhout,,Amanda Lindhout,The greatest gift you have been given is the gift of your imagination - what do you dream of wanting to do?,21,white,female,wikidata,llm,26000.0,4.414973347970818,9
1946,jstet_490571,Amanda Peet,,Amanda Peet,"In a romantic comedy, it's usually a good idea to have people who can't stand the fact that they are attracted to each other.",26,white,female,wikidata,llm,731000.0,5.86391737695786,2
1947,jstet_478410,Amanda Schull,,Amanda Schull,The worst beauty advice that I have ever taken has been from people who have told me that sunscreen isn't necessary. Not true!,24,white,female,wikidata,llm,224000.0,5.350248018334163,1
1949,jstet_260535,Amanda Torroni,,Amanda Torroni,How starved you must have been that my heart became a meal for your ego.,15,white,female,llm,llm,17100.0,4.232996110392154,2
1952,jstet_467064,Amber Heard,,Amber Heard,You feel better when you're eating food that retains nutritional value.,12,white,female,wikidata,llm,6660000.0,6.823474229170301,1
2949,jstet_118425,Amber Run,,Amber Run,"I don't wanna be the center of anything, just a part of something bigger.",15,white,male,llm,llm,264000.0,5.421603926869831,1
1954,jstet_357551,Amber Schamel,,Amber Schamel,"Never question the clouds, they're only bringing the life-giving rain.",12,white,female,llm,llm,6370.0,3.8041394323353503,1
1962,jstet_411953,Amelia Barr,,Amelia Barr,Let me tell thee time is a very precious gift of God so precious that it's only given to us moment by moment.,24,white,female,wikidata,llm,18100.0,4.2576785748691846,8
53,jstet_307723,Amelia Boynton,,Amelia Boynton,You can never know where you are going unless you know where you have been.,15,black,female,wikidata,llm,77200.0,4.887617,1
1964,jstet_401373,Amelia Jenks Bloomer,,Amelia Jenks Bloomer,Ah how steadily do they who are guilty shrink from reproof!,11,white,female,wikidata,llm,20600.0,4.313867220369153,1
1965,jstet_285711,Ami Blackwelder,,Ami Blackwelder,"Like two side to a coin, there are two sides to life: your reason and emotional facets.",17,white,female,llm,llm,5480.0,3.738780558484369,1
1966,jstet_497148,Amity Gaige,,Amity Gaige,"I researched children's rights, divorce law, and parental kidnapping. Millions of children and parents are touched by the inadequacy of the legal system to deal with the human heart.",30,white,female,wikidata,llm,188000.0,5.27415784926368,1
2950,jstet_166392,Amos Tversky,,Amos Tversky,[Metaphors] replace genuine uncertainty about the world with semantic ambiguity. A metaphor is a cover-up.,16,white,male,wikidata,llm,557000.0,5.745855195173729,1
1967,jstet_291152,Amy Carroll,,Amy Carroll,"Amazingly, my impatience didn’t speed up the procession at all.",11,white,female,wikidata,llm,311000.0,5.492760389026838,1
1968,jstet_221263,Amy Daumit,,Amy Daumit,"Speak your truth, create your path, love your journey.",9,white,female,llm,llm,1470.0,3.167317334748176,1
1974,jstet_424172,Amy E. Tobin,,Amy E. Tobin,The mirror of humanity always reflects the need for a Savior.,11,white,female,llm,llm,1570.0,3.1958996524092336,5
1975,jstet_221087,Amy Greene,,Amy Greene,It's not forgetting that heals. It's remembering.,9,white,female,wikidata,llm,118000.0,5.071882007306125,1
1978,jstet_324007,Amy Jarecki,,Amy Jarecki,The fairies will work their magic. They always do.,9,white,female,wikidata,llm,76600.0,4.884228769632604,8
1988,jstet_63701,Amy Lowell,,Amy Lowell,"All books are either dreams or swords,You can cut, or you can drug, with words.",16,white,female,wikidata,llm,153000.0,5.184691430817598,8
1996,jstet_166385,Amy Marie,,Amy   Marie,That's the beauty and the curse of the 'engrafted word'... it all comes down to interpretation.,17,white,female,llm,llm,1400000.0,6.146128035678238,1
1999,jstet_184926,Amy McNamara,,Amy McNamara,"Larkin gets it, got it, the lies we live just to tread through time.",14,white,female,llm,llm,87600.0,4.942504106168081,4
2001,jstet_353552,Amy Olinger,,Amy Olinger,Are they even capable of love?,6,white,female,llm,llm,19700.0,4.294466226161593,1
2002,jstet_390337,Amy Pascale,,Amy Pascale,"According to Joss [Whedon], “TV is a question, movies are an answer.",12,white,female,llm,llm,11300.0,4.05307844348342,1
2005,jstet_248980,Amy Rachel Peterson,,Amy Rachel Peterson,I remember three years ago looking into the entrance pool of Julia’s stately domus and finding I was beautiful.,20,white,female,llm,llm,3260.0,3.513217600067939,2
2006,jstet_45998,Amy Rachiele,,Amy Rachiele,"People should know, only what they need to know.",9,white,female,llm,llm,4010.0,3.603144372620182,1
2007,jstet_439438,Amy Smart,,Amy Smart,"I love cooking during Christmas, all smells like the hot apple cider, the hot spiced wine.",16,white,female,wikidata,llm,1040000.0,6.017033339298781,1
1001,jstet_496525,Anas Aremeyaw Anas,,Anas Aremeyaw Anas,Journalism is about results. It's about affecting your community or your society in the most progressive way.,18,black,male,wikidata,llm,221000.0,5.344392,1
